Phase,Step,Owner,Status,Date Completed,Notes
Trigger,Confirm OOS is not a calculation/transcription error,Supervisor,,,
Trigger,Retain original solutions and data,Analyst,,,
Phase I,Verify calculations and transcription,Analyst,,,
Phase I,Check standards/reagents (identity & expiry),Analyst,,,
Phase I,Review system suitability and calibration,Analyst,,,
Phase I,Review sample preparation and dilutions,Analyst,,,
Phase I,Inspect glassware/column/consumables,Analyst,,,
Phase I,Review analyst technique (factual),Supervisor,,,
Phase I,Conclude: assignable lab cause? (Yes/No),Supervisor,,,
Hypothesis,Document hypothesis (if testing),Supervisor,,,
Hypothesis,QA pre-approval of retest plan,QA,,,
Hypothesis,Record retest outcome and interpretation,Analyst,,,
Phase II,Review batch record and IPCs,QA,,,
Phase II,Review raw materials and components,QA,,,
Phase II,Review equipment and process parameters,Production,,,
Phase II,Assess other batches potentially affected,QA,,,
Phase II,Trend review (method/product/analyst),QA,,,
Phase II,Determine probable root cause,QA,,,
Disposition,Decide batch disposition,QA,,,
Disposition,Document rationale and impact,QA,,,
Disposition,QA approval signature,QA,,,
CAPA,Define corrective action,QA,,,
CAPA,Define preventive action,QA,,,
CAPA,Define effectiveness check,QA,,,
CAPA,Close investigation,QA,,,
