Week,Theme,Task,Evidence to Show Your Trainer,Status,Trainer Initials,Date
1,Orientation,Read the Microbiology QC Starter Guide end to end,Notes and three questions for discussion,Complete,JK,2025-01-10
1,Orientation,Tour the lab: media storage incubators BSC water points and record archive,Walkthrough checklist initialed,Complete,JK,2025-01-10
2,Orientation,Read site SOPs for microbial limits sterility EM media prep and data integrity,Read-and-understood signatures in the training system,Complete,JK,2025-01-17
2,Orientation,Review the regulatory map: USP <61>/<62>/<71>/<1111> and Annex 1 basics,One-page summary in your own words,Not started,,
3,Media and cultures,Shadow media preparation including pH check dispensing and labeling,Observed media prep log entry,Not started,,
3,Media and cultures,Shadow a growth promotion test and trace the media lot record to release,GPT record reviewed with lot traceability,Not started,,
4,Media and cultures,Plate reference strains on selective and differential media as training plates,Training plate reads verified by trainer,Not started,,
4,Media and cultures,Learn the culture collection: reference strain receipt passage limits and storage,Completed culture handling entry,Not started,,
5,Aseptic technique,Complete formal aseptic technique training module,Training certificate,Not started,,
5,Aseptic technique,Practice transfers streaking and mock membrane filtration on non-GMP materials,Technique observation checklist,Not started,,
6,Aseptic technique,Pass aseptic technique assessment,Assessment record signed,Not started,,
6,Aseptic technique,Begin gowning qualification if classified-area access is required,Gowning qualification stage record,Not started,,
7,Core tests shadowing,Shadow a TAMC/TYMC run and independently repeat the dilution math,Parallel calculations matching the record,Not started,,
7,Core tests shadowing,Shadow a specified organism test including enrichment and confirmatory steps,Shadow log with media and confirmation steps listed,Not started,,
8,Core tests shadowing,Shadow water sampling at two points of use including hold-time handling,Sampling record annotated by trainer,Not started,,
8,Core tests shadowing,Join an EM round: active air contact plates and glove prints,EM sampling shadow log,Not started,,
9,Supervised runs,Perform microbial limits sample prep and plating under direct supervision,Co-signed run record,Not started,,
9,Supervised runs,Perform a water test by membrane filtration under supervision,Co-signed run record,Not started,,
10,Supervised runs,Read and record plates: raw counts dilution calculation and reported result,Plate reading record verified for ALCOA+,Not started,,
10,Data and trending,Review the EM and water trend reports and explain one excursion file,Trend discussion documented with trainer,Not started,,
11,Qualification,Complete formal method qualification for microbial limits,Qualification certificate in training file,Not started,,
11,Qualification,Complete formal method qualification for water testing,Qualification certificate in training file,Not started,,
12,Qualification,Walk through a closed deviation or OOS file with your supervisor,Written summary of the investigation lifecycle,Not started,,
12,Qualification,Complete data integrity refresher: ALCOA+ error correction and second-person verification,Data integrity training record,Not started,,
