GMP Audit Readiness - SOP Gap Analysis,,,,
Instructions: Score each element 0-2 (0=absent/no evidence; 1=partial; 2=compliant with evidence). Filter the Priority column to find your worst gaps first.,,,,
,,,,
#,Quality System Element,What the auditor checks,Score (0-2),Priority (Critical/Major/Minor),Notes / Action
1,Document control,Current vs superseded SOPs controlled and retrievable,,Critical,
2,Data integrity - access,Unique logins; no shared accounts; least privilege,,Critical,
3,Data integrity - audit trail,Audit trails on; reviewed; review recorded,,Critical,
4,OOS investigations,Two-phase process; no testing into compliance,,Critical,
5,Deviation management,Timely; risk-assessed; closed with rationale,,Critical,
6,CAPA,Root cause verified; effectiveness checks defined,,Critical,
7,Batch record review,Complete records; deviations closed before release,,Critical,
8,Change control,Assessed and approved before implementation,,Major,
9,Cleaning validation,HBEL-based limits; recovery study; worst case,,Major,
10,Environmental monitoring,Alert/action levels; excursions ID'd and impact-assessed,,Major,
11,Equipment qualification,IQ/OQ/PQ current; within calibration,,Major,
12,Calibration program,Schedule met; out-of-tolerance handling defined,,Major,
13,Analytical method validation,ICH Q2 characteristics; acceptance criteria pre-set,,Major,
14,Stability program,Ongoing batch/year; protocol; excursion handling,,Major,
15,Supplier qualification,Risk tiers; quality agreements; change notification,,Major,
16,Training & qualification,Records match who performed the work,,Major,
17,Water system,Validated; monitored; alert/action; sanitization,,Major,
18,Sterility assurance (if sterile),CCS; media fills; gowning qualification,,Critical,
19,Complaint handling,Logged; investigated; trended; linked to CAPA,,Minor,
20,Self-inspection,Risk-based schedule; independent; findings to CAPA,,Minor,
,,,,
,,Total score (sum),=SUM(D5:D24),,
,,Maximum possible,40,,
,,% Readiness,=ROUND(D26/40*100,0),,Aim for 90%+ before an inspection
