Target Employer Research List - Pharma / Biotech / Life Science,,,,
Instructions: A starter list of global employers to research. Add local/regional companies in the blank rows. Fill the columns as you research each one.,,,,
,,,,
Company,Category,Why they're a strong QC/QA employer,Careers page (find & paste),Status (researching / applied / interview)
Pfizer,Big Pharma,Large QC/QA org; strong GMP training and mobility,,
Novartis,Big Pharma,Broad biologics + small molecule QC roles,,
Roche / Genentech,Biotech/Pharma,Leading biologics QC and analytical science,,
Merck (MSD),Big Pharma,Sterile and vaccine QC depth,,
Sanofi,Big Pharma,Vaccines + biologics QC/QA,,
AstraZeneca,Big Pharma,Strong inhalation/sterile QC,,
GSK,Big Pharma,Vaccines and consumer health QC,,
Johnson & Johnson,Pharma/Devices,Pharma + medtech QA breadth,,
AbbVie,Big Pharma,Biologics and small molecule QC,,
Amgen,Biotech,Biologics QC and process analytics,,
Gilead Sciences,Biotech,Antiviral/oncology QC,,
Lonza,CDMO,Contract manufacturing — high QC/QA demand,,
Catalent,CDMO,Broad dosage-form QC exposure,,
Thermo Fisher / Patheon,CDMO/Supplier,QC services + analytical instruments,,
Teva,Generics,High-volume QC/QA roles,,
Fresenius Kabi,Sterile/Generics,Sterile injectables QC,,
Boehringer Ingelheim,Big Pharma,Biologics CDMO + own products,,
Bayer,Pharma/Life Science,Pharma + crop/life science QC,,
Sartorius,Supplier (single-use),Bioprocess QC + supplier-side roles,,
Merck KGaA / MilliporeSigma,Supplier,Lab products + life-science QC,,
,Add your own (regional/local),,,
,,,,
,,,,
,,,,
,,,,
